phone_2	phone_1	by	score	n
ah	ey	('w-t', 's1')	0.853870458136	2532
ey	ah	('w-t', 's1')	0.592998194538	177240
ae	ih	('th-ng', 'c1')	0.671909062597	19266
ih	ae	('th-ng', 'c1')	0.782544378698	6084
er	ih	('t-n', 'v1')	0.718434343434	1584
ih	er	('t-n', 'v1')	0.792929292929	1584
ah	ax	('s-m', 's1')	0.534226856832	1165722
ax	ah	('s-m', 's1')	0.60289081216	237096
ae	uw	('y-SIL', 'j1')	0.806318681319	728
uw	ae	('y-SIL', 'j1')	0.89880952381	168
ah	ax	('r-n', 'v1')	0.572268907563	17850
ax	ah	('r-n', 'v1')	0.662993197279	7350
ae	ax	('k-n', 'f1')	0.559761904762	58800
ax	ae	('k-n', 'f1')	0.472522617294	237650
ah	ax	('s-m', 'v1')	0.576121794872	62400
ax	ah	('s-m', 'v1')	0.589118589744	62400
ah	ey	('w-t', 'f1')	0.797594997595	20790
ey	ah	('w-t', 'f1')	0.595058999314	390852
eh	ih	('hh-r', 's3')	0.478571428571	140
ih	eh	('hh-r', 's3')	0.695238095238	210
eh	ih	('hh-r', 'f2')	0.55652173913	2530
ih	eh	('hh-r', 'f2')	0.64347826087	460
ax	ao	('b-l', 'f2')	0.8588794926	1892
aa	ih	('m-n', 'v2')	0.763888888889	1584
ih	aa	('m-n', 'v2')	0.696338383838	1584
er	ih	('t-n', 'w3')	0.652777777778	72
ih	er	('t-n', 'w3')	0.841666666667	120
ah	ax	('r-n', 's2')	0.701104613385	6156
ax	ah	('r-n', 's2')	0.623151014792	5814
aa	eh	('g-t', 'f2')	0.750350631136	15686
eh	aa	('g-t', 'f2')	0.90275829827	21390
ay	ih	('r-t', 'c1')	0.567800480663	451044
ih	ay	('r-t', 'c1')	0.814003656731	690234
ay	ih	('r-t', 'q1')	0.625925925926	810
ih	ay	('r-t', 'q1')	0.872222222222	720
ae	ih	('th-ng', 'j1')	0.57068815331	68880
ih	ae	('th-ng', 'j1')	0.65699023199	65520
ae	uw	('y-SIL', 's3')	0.333333333333	12
er	ih	('t-n', 'i1')	0.525	160
ih	er	('t-n', 'i1')	0.632142857143	280
eh	ih	('hh-r', 'i1')	0.412719298246	9120
ah	ax	('r-n', 'f1')	0.730728335991	3762
ax	ah	('r-n', 'f1')	0.791866028708	2090
aa	eh	('g-t', 's1')	0.74609519532	7481040
eh	aa	('g-t', 's1')	0.867561741537	1127280
ah	ey	('w-t', 'j1')	0.805555555556	2052
ey	ah	('w-t', 'j1')	0.531905744754	116280
ae	uw	('y-SIL', 'f1')	0.775741328373	18278
uw	ae	('y-SIL', 'f1')	0.767712550607	5928
ao	ax	('b-l', 'i1')	0.865	600
ax	ao	('b-l', 'i1')	0.915510204082	9800
ao	ax	('b-l', 'c1')	0.722676118387	99876
ax	ao	('b-l', 'c1')	0.967891004518	435174
aa	eh	('g-t', 'w3')	0.801250397066	484806
eh	aa	('g-t', 'w3')	0.922156862745	249900
aa	ih	('m-n', 't1')	0.653409090909	4224
ih	aa	('m-n', 't1')	0.744203629032	11904
aa	ah	('w-n', 'w1')	0.640604518467	674388
ah	aa	('w-n', 'w1')	0.338869463869	195624
ao	ax	('b-l', 's3')	0.666666666667	120
ax	ao	('b-l', 's3')	0.997222222222	360
ah	ey	('w-t', 'w3')	0.861428571429	1400
ey	ah	('w-t', 'w3')	0.536149068323	24150
ae	ax	('k-n', 'w1')	0.55139035956	86884
ax	ae	('k-n', 'w1')	0.495089961632	328918
ah	ax	('s-m', 'q1')	0.790476190476	210
ax	ah	('s-m', 'q1')	0.511904761905	252
eh	ih	('l-t', 'i1')	0.688248847926	13020
ih	eh	('l-t', 'i1')	0.53606557377	56730
ih	aa	('m-n', 'f2')	0.97619047619	42
ah	ax	('s-m', 'w1')	0.626607213973	140616
ax	ah	('s-m', 'w1')	0.633333333333	79380
eh	ih	('hh-r', 'w1')	0.466104271166	197370
ih	eh	('hh-r', 'w1')	0.655535678791	60372
ao	ax	('b-l', 'w1')	0.830380750925	22692
ax	ao	('b-l', 'w1')	0.998924731183	1860
ay	ih	('r-t', 'f1')	0.530419969406	28764
