talker_2	talker_1	phone_2	phone_1	by	score	n
f2	s3	ao	ax	b-l	0.55	40
f2	s3	ax	ao	b-l	0.94375	1760
f2	t1	ao	ax	b-l	0.459183673469	392
f2	t1	ax	ao	b-l	0.930078849722	17248
f2	v1	ao	ax	b-l	0.893653516295	2915
f2	v1	ax	ao	b-l	0.464642133167	128260
f2	v2	ao	ax	b-l	0.771241830065	153
f2	v2	ax	ao	b-l	0.840612002377	6732
f2	w1	ao	ax	b-l	0.64247311828	372
f2	w1	ax	ao	b-l	0.950818670577	16368
f2	w3	ao	ax	b-l	0.695061728395	810
f2	w3	ax	ao	b-l	0.859764309764	35640
i1	c1	ao	ax	b-l	0.56272778245	14268
i1	c1	ax	ao	b-l	0.959013176339	178350
i1	d1	ao	ax	b-l	0.699113856069	7448
i1	d1	ax	ao	b-l	0.900461868958	93100
i1	f1	ao	ax	b-l	0.314782608696	2300
i1	f1	ax	ao	b-l	0.915582608696	28750
i1	f2	ao	ax	b-l	0.613636363636	176
i1	f2	ax	ao	b-l	0.963181818182	2200
i1	j1	ao	ax	b-l	0.436507936508	1008
i1	j1	ax	ao	b-l	0.976666666667	12600
i1	m2	ao	ax	b-l	0.555813953488	1720
i1	m2	ax	ao	b-l	0.954790697674	21500
i1	q1	ao	ax	b-l	0.0	8
i1	q1	ax	ao	b-l	1.0	100
i1	s1	ao	ax	b-l	0.69110459433	8184
i1	s1	ax	ao	b-l	0.837771260997	102300
i1	s2	ao	ax	b-l	0.579464285714	10080
i1	s2	ax	ao	b-l	0.911396825397	126000
i1	s3	ao	ax	b-l	0.23125	160
i1	s3	ax	ao	b-l	0.9975	2000
i1	t1	ao	ax	b-l	0.203443877551	1568
i1	t1	ax	ao	b-l	0.993724489796	19600
i1	v1	ao	ax	b-l	0.89897084048	11660
i1	v1	ax	ao	b-l	0.85615780446	145750
i1	v2	ao	ax	b-l	0.383986928105	612
i1	v2	ax	ao	b-l	0.903529411765	7650
i1	w1	ao	ax	b-l	0.336021505376	1488
i1	w1	ax	ao	b-l	0.989623655914	18600
i1	w3	ao	ax	b-l	0.430555555556	3240
i1	w3	ax	ao	b-l	0.954222222222	40500
j1	c1	ao	ax	b-l	0.787776843286	49938
j1	c1	ax	ao	b-l	0.964411425723	64206
j1	d1	ao	ax	b-l	0.808577566365	26068
j1	d1	ax	ao	b-l	0.90186776465	33516
