"speakerpairs"	"contrasts"	"mean_score_temp"	"sp_type"	"c_type"
"c1-f1"	"b-t"	0.641652494331	"b"	"C"
"c1-f1"	"b-th"	0.518636144389	"b"	"C"
"c1-f1"	"b-w"	0.57985262784075	"b"	"C"
"c1-f1"	"ch-g"	0.7890625	"b"	"C"
"c1-f1"	"ch-hh"	0.70713404605275	"b"	"C"
"c1-f1"	"ch-s"	0.63541666666675	"b"	"C"
"c1-f1"	"ch-th"	0.6952167585785	"b"	"C"
"c1-f1"	"d-g"	0.515517008712375	"b"	"C"
"c1-f1"	"d-m"	0.646472465701	"b"	"C"
"c1-f1"	"d-n"	0.53867302052775	"b"	"C"
"c1-f1"	"d-w"	0.712111135215	"b"	"C"
"c1-f1"	"dh-g"	0.596562062325	"b"	"C"
"c1-f1"	"dh-hh"	0.552480338778	"b"	"C"
"c1-f1"	"dh-k"	0.69980491541875	"b"	"C"
"c1-f1"	"dh-l"	0.56010939412475	"b"	"C"
"c1-f1"	"dh-t"	0.562215747517	"b"	"C"
"c1-f1"	"dh-w"	0.54479246995675	"b"	"C"
"c1-f1"	"dh-y"	0.528896745465625	"b"	"C"
"c1-f1"	"eh-ih"	0.53252888377975	"b"	"V"
"c1-f1"	"er-ih"	0.549615036232	"b"	"V"
"c1-f1"	"f-g"	0.544642857143	"b"	"C"
"c1-f1"	"g-hh"	0.4921875	"b"	"C"
"c1-f1"	"g-l"	0.6809274097235	"b"	"C"
"c1-f1"	"g-m"	0.646069038205	"b"	"C"
"c1-f1"	"g-n"	0.5840676460635	"b"	"C"
"c1-f1"	"g-s"	0.4947916666665	"b"	"C"
"c1-f1"	"g-t"	0.59466220698825	"b"	"C"
"c1-f1"	"g-th"	0.50245098039225	"b"	"C"
"c1-f1"	"g-w"	0.669083701689625	"b"	"C"
"c1-f1"	"g-y"	0.6286214485795	"b"	"C"
"c1-f1"	"hh-jh"	0.77518038317575	"b"	"C"
"c1-f1"	"hh-k"	0.60316819242025	"b"	"C"
"c1-f1"	"hh-s"	0.573944800250375	"b"	"C"
"c1-f1"	"hh-th"	0.572900205861	"b"	"C"
"c1-f1"	"hh-w"	0.730721667025	"b"	"C"
"c1-f1"	"hh-y"	0.50132498585175	"b"	"C"
"c1-f1"	"jh-k"	0.666963132748	"b"	"C"
"c1-f1"	"jh-w"	0.7094453125	"b"	"C"
"c1-f1"	"k-n"	0.856629508142	"b"	"C"
"c1-f1"	"k-t"	0.634288102065083	"b"	"C"
"c1-f1"	"k-w"	0.68909701352375	"b"	"C"
"c1-f1"	"k-y"	0.62076585472875	"b"	"C"
"c1-f1"	"l-t"	0.717488277348	"b"	"C"
"c1-f1"	"l-w"	0.5054684763985	"b"	"C"
"c1-f1"	"l-y"	0.6083548664945	"b"	"C"
"c1-f1"	"m-n"	0.568361960688	"b"	"C"
"c1-f1"	"m-t"	0.58398989898975	"b"	"C"
"c1-f1"	"m-w"	0.58097415795575	"b"	"C"
"c1-f1"	"n-r"	0.75756944444425	"b"	"C"
"c1-f1"	"n-t"	0.5266725858455	"b"	"C"
"c1-f1"	"ng-s"	0.73661764705875	"b"	"C"
"c1-f1"	"s-th"	0.51702920751625	"b"	"C"
"c1-f1"	"t-v"	0.51068876869675	"b"	"C"
"c1-f1"	"t-w"	0.5505494505495	"b"	"C"
"c1-f1"	"t-y"	0.64439849624075	"b"	"C"
"c1-f1"	"w-y"	0.584606663178	"b"	"C"
"c1-f2"	"aa-ah"	0.5114976627115	"b"	"V"
"c1-f2"	"aa-eh"	0.80167142000825	"b"	"V"
"c1-f2"	"aa-ih"	0.86872874149675	"b"	"V"
"c1-f2"	"ae-ax"	0.5292612324525	"b"	"V"
"c1-f2"	"ae-ih"	0.71486686390525	"b"	"V"
"c1-f2"	"ae-uw"	0.6154342495805	"b"	"V"
"c1-f2"	"ah-ax"	0.5988997804485	"b"	"V"
"c1-f2"	"ah-ey"	0.73725274725275	"b"	"V"
"c1-f2"	"ao-ax"	0.7926972627875	"b"	"V"
"c1-f2"	"ay-ih"	0.67401176888675	"b"	"V"
"c1-f2"	"b-ch"	0.7921195652175	"b"	"C"
"c1-f2"	"b-g"	0.45923913043475	"b"	"C"
"c1-f2"	"b-hh"	0.5820925500585	"b"	"C"
"c1-f2"	"b-jh"	0.752734375	"b"	"C"
"c1-f2"	"b-k"	0.64296875	"b"	"C"
"c1-f2"	"b-l"	0.5299422799425	"b"	"C"
"c1-f2"	"b-s"	0.52995985671925	"b"	"C"
"c1-f2"	"b-t"	0.5681216931215	"b"	"C"
"c1-f2"	"b-th"	0.537084398977	"b"	"C"
"c1-f2"	"b-w"	0.660375	"b"	"C"
"c1-f2"	"ch-g"	0.59375	"b"	"C"
"c1-f2"	"ch-hh"	0.87923177083325	"b"	"C"
"c1-f2"	"ch-s"	0.410156249999925	"b"	"C"
"c1-f2"	"ch-th"	0.735294117647	"b"	"C"
"c1-f2"	"d-g"	0.583248472788625	"b"	"C"
"c1-f2"	"d-m"	0.59316927990725	"b"	"C"
"c1-f2"	"d-n"	0.53250126889225	"b"	"C"
"c1-f2"	"d-w"	0.76369179414925	"b"	"C"
"c1-f2"	"dh-g"	0.61948308270675	"b"	"C"
"c1-f2"	"dh-hh"	0.565439706862	"b"	"C"
"c1-f2"	"dh-k"	0.75072784810125	"b"	"C"
"c1-f2"	"dh-l"	0.5982680538555	"b"	"C"
"c1-f2"	"dh-t"	0.576288573905	"b"	"C"
"c1-f2"	"dh-w"	0.51011904761875	"b"	"C"
"c1-f2"	"dh-y"	0.5357662352085	"b"	"C"
"c1-f2"	"eh-ih"	0.4802870386505	"b"	"V"
"c1-f2"	"er-ih"	0.538043478261	"b"	"V"
"c1-f2"	"f-g"	0.59183673469375	"b"	"C"
"c1-f2"	"g-hh"	0.48958333333325	"b"	"C"
"c1-f2"	"g-l"	0.68725913621275	"b"	"C"
"c1-f2"	"g-m"	0.6165137739545	"b"	"C"
"c1-f2"	"g-n"	0.63695963127775	"b"	"C"
"c1-f2"	"g-s"	0.53125	"b"	"C"
"c1-f2"	"g-t"	0.6233082706765	"b"	"C"
"c1-f2"	"g-th"	0.67647058823525	"b"	"C"
"c1-f2"	"g-w"	0.70826468608275	"b"	"C"
"c1-f2"	"g-y"	0.59184888241	"b"	"C"
"c1-f2"	"hh-jh"	0.7536044973545	"b"	"C"
"c1-f2"	"hh-k"	0.712999117111	"b"	"C"
"c1-f2"	"hh-s"	0.580316347064375	"b"	"C"
"c1-f2"	"hh-th"	0.55851715686275	"b"	"C"
"c1-f2"	"hh-w"	0.59989947089975	"b"	"C"
"c1-f2"	"hh-y"	0.4739141199775	"b"	"C"
"c1-f2"	"jh-k"	0.681661931818	"b"	"C"
"c1-f2"	"jh-w"	0.668725	"b"	"C"
"c1-f2"	"k-n"	0.741697157332	"b"	"C"
"c1-f2"	"k-t"	0.630154934646667	"b"	"C"
"c1-f2"	"k-w"	0.75098181818175	"b"	"C"
"c1-f2"	"k-y"	0.626065668203	"b"	"C"
